route_short_name,route_color,route_text_color,weelchair,comment,agency_id
9,CDC83F,000000,non,,100
2,216EB4,FFFFFF,non,,100
T1,216EB4,216EB4,oui,,100
1,F2C931,000000,oui,,100
14,67328E,FFFFFF,oui,,100
8,C5A3CA,000000,non,,100
11,8E6538,FFFFFF,non,,100
6,79BB92,000000,non,,100
7B,79BB92,000000,non,,100
10,DFB039,000000,non,,100
3,9A9940,FFFFFF,non,,100
5,DE8B53,000000,non,,100
T3,DE8B53,DE8B53,Oui,,100
4,BB4D98,FFFFFF,non,,100
T2,BB4D98,BB4D98,oui,,100
3B,89C7D6,000000,non,,100
13,89C7D6,000000,non,,100
7,DF9AB1,000000,non,,100
12,328E5B,FFFFFF,non,,100
101,ffcd01,000000,oui,,100
102,ffcd01,000000,oui,,100
103,f68f4b,000000,oui,,100
104,ed1b2a,ffffff,oui,,100
105,f68f4b,000000,oui,,100
106,ed1b2a,ffffff,oui,,100
107,f59eb3,000000,non,,100
108,f59eb3,000000,non,,100
109,cec92a,000000,oui,,100
110,652c90,ffffff,oui,,100
111,c9a2cd,000000,oui,,100
112,f68f4b,000000,non,,100
113,ed1b2a,ffffff,non,,100
114,77c695,ffffff,non,,100
115,008b5a,ffffff,oui,,100
116,87d3df,000000,oui,,100
117,008b5a,ffffff,oui,,100
118,e0b03b,000000,oui,,100
119,ffcd01,000000,non,,100
120,c9a2cd,000000,non,,100
121,ed1b2a,ffffff,oui,,100
122,c9a2cd,000000,oui,,100
123,008b5a,ffffff,non,,100
124,f59fb3,000000,oui,,100
125,006cb8,ffffff,oui,,100
126,87d3df,000000,non,,100
127,f68f4b,000000,oui,,100
128,8d653a,ffffff,non,,100
129,9b993b,ffffff,oui,,100
131,8d653a,ffffff,non,,100
132,652c90,ffffff,oui,,100
133,77c695,000000,non,,100
134,f59fb3,000000,oui,,100
137,f68f4b,000000,non,,100
138,bb4b9c,ffffff,non,,100
139,f68f4b,000000,oui,,100
140,ed1b2a,ffffff,oui,,100
141,e0b03b,000000,oui,,100
143,006cb8,ffffff,non,,100
144,c9a2cd,000000,oui,,100
145,bb4b9c,ffffff,oui,,100
146,c9a2cd,000000,oui,,100
147,ed1b2a,ffffff,non,,100
148,8d653a,ffffff,oui,,100
150,f59eb3,000000,non,,100
151,bb4b9c,ffffff,non,,100
152,ed1b2a,ffffff,non,,100
153,008b5a,ffffff,oui,,100
154,f59eb3,000000,non,,100
156,ffcd02,000000,non,,100
157,bb499c,ffffff,oui,,100
158,f68f4b,000000,oui,,100
159,652c90,ffffff,oui,,100
160,008b5a,ffffff,oui,,100
162,006cb8,ffffff,oui,,100
163,dfb03a,000000,oui,,100
164,bb499c,ffffff,oui,,100
165,f68f4b,000000,non,,100
166,652c90,ffffff,oui,,100
167,77c695,000000,oui,,100
169,77c695,000000,oui,,100
170,87d3df,000000,oui,,100
171,ed1b2a,ffffff,oui,,100
172,008b5a,ffffff,non,,100
173,006cb8,ffffff,non,,100
174,008b5a,ffffff,oui,,100
175,006cb8,ffffff,oui,,100
176,e0b03b,000000,oui,,100
177,77c695,000000,oui,,100
178,006cb8,ffffff,non,,100
179,008b5a,ffffff,non,,100
180,9c983a,ffffff,non,,100
181,8d653a,ffffff,oui,,100
182,bb4b9c,ffffff,oui,,100
183,ed1b2a,ffffff,oui,,100
184,dfb03a,000000,oui,,100
185,f18b3a,000000,oui,,100
186,b43c95,ffffff,oui,,100
187,652c90,ffffff,non,,100
188,c9a2cd,000000,oui,,100
189,f68f4b,000000,non,,100
190,8d653a,ffffff,non,,100
191,f59fb3,000000,oui,,100
192,77c695,000000,non,,100
194,f68f4b,000000,oui,,100
195,bb4b9c,ffffff,non,,100
196,e0b03b,000000,oui,,100
197,ed1b2a,ffffff,non,,100
199,cec92a,000000,non,,100
20,f68f4b,000000,oui,,100
201,8d653a,ffffff,oui,,100
203,f59fb3,000000,oui,,100
206,8d653a,ffffff,oui,,100
207,dfb03a,000000,oui,,100
208,b43c95,ffffff,non,,100
208s,000080,FFFFFF,non,,100
21,77c695,000000,oui,,100
210,ffcd01,000000,oui,,100
211,f59fb3,000000,non,,100
212,87d3df,000000,non,,100
213,9b993b,ffffff,non,,100
214,c9a2cd,000000,oui,,100
215,77c695,000000,oui,,100
216,ed1b2a,ffffff,non,,100
217,652c90,ffffff,non,,100
22,008b5a,ffffff,oui,,100
220,bb499c,ffffff,non,,100
221,f59fb3,000000,non,,100
234,f68f4b,000000,oui,,100
235,ffcd02,000000,non,,100
237,c9a2cd,000000,non,,100
238,f59eb3,000000,non,,100
239,bb4b9c,ffffff,oui,,100
24,bb4b9c,ffffff,oui,,100
241,8d653a,ffffff,oui,,100
244,bb4b9c,ffffff,oui,,100
247,f68f4b,000000,non,,100
248,c9a2cd,000000,non,,100
249,cec92a,000000,oui,,100
250,b43c95,ffffff,non,,100
251,ed1b2a,ffffff,non,,100
252,ed1b2a,ffffff,non,,100
253,ffcd02,000000,oui,,100
254,77c695,000000,oui,,100
255,9c983a,ffffff,non,,100
256,8d653a,ffffff,non,,100
258,ed1b2a,000000,oui,,100
26,f68f4b,000000,oui,,100
261,ed1b2a,ffffff,non,,100
262,bb499c,ffffff,oui,,100
268,dfb03a,000000,non,,100
269,f68f4b,000000,non,,100
27,f68f4b,000000,oui,,100
270,f59eb3,000000,non,,100
272,f68f4b,000000,oui,,100
274,ed1b2a,ffffff,non,,100
275,ffcd02,000000,oui,,100
276,ed1b2a,ffffff,oui,,100
278,c9a2cd,000000,oui,,100
279,f68f4b,000000,non,,100
28,f59eb3,000000,oui,,100
281,dfb03a,000000,oui,,100
285,bb4b9c,ffffff,oui,,100
286,c9a2cd,000000,oui,,100
289,bb4b9c,ffffff,NC,,100
29,87d3df,000000,oui,,100
290,c9a2cd,000000,non,,100
291,9c983a,ffffff,non,,100
292,f59eb3,000000,non,,100
294,c9a2cd,000000,non,,100
295,ed1b2a,ffffff,non,,100
297,bb499c,ffffff,non,,100
299,f68f4b,000000,oui,,100
30,652c90,ffffff,oui,,100
301,cec92b,000000,non,,100
302,ffcd02,000000,oui,,100
