"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","weelchair"
"014014001:1","339","1","Villeparisis Mitry-le-Neuf RER B - Le Blanc Mesnil RER B",,"3",,"60BB47",,
"014014011:11","339","11","Goussainville Victor Basch - Saint Denis Marché Tram",,"3",,"B254A1",,
"014014012:12","339","12","Goussainville RER D - Chaumontel Mairie / Rue du Pont",,"3",,"0075BF",,
"014014014:14","339","14","Noisy-sur-Oise Place Gambetta / Asnières-sur-Oise Baillon - Viarmes Gare",,"3",,"9C85BD",,
"014014015:15","339","15","Aulnay-sous-Bois RER - Tremblay-en-France Jaurès",,"3",,"0054A0",,
"014014016:16","339","16","Mitry-Mory Villeparisis Mitry-le-Neuf RER B - Compans Maison des Associations / Ecole J",,"3",,"EA6B92",,
"014014217:17","339","17","Villeparisis Marché - Villeparisis Centre",,"3",,"0095D8",,
"014014218:18","339","18","Villeparisis Marché - Villeparisis Collège G.Philipe / Parc d'Activités de l'Ambrésis",,"3",,"F6A62E",,
"014014019:19","339","19","Villeparisis Marché - Le Pin Clos Marchais",,"3",,"009036",,
"014014221:21","339","21","Villeparisis Marché - Claye Souilly Mairie Annexe",,"3",,"CBDA75",,
"014014022:22","339","22","Saint-Mard Gare SNCF - Villepinte Vert Galant RER",,"3",,"86888F",,
"014014223:23","339","23","Villeparisis Gymnase Aubertin - Zone Aéroportuaire Aéroport Charles de Gaulle 1 RER B",,"3",,"F6A62E",,
"014014224:24","339","24","Compans Maison des Associations - Zone Aéroportuaire Aéroport Charles de Gaulle 1 RER B",,"3",,"8DD5F2",,
"014014031:31","339","31","Garges Sarcelles RER D - Garges-lès-Gonesse Parc Commercial Pont de Pierre",,"3",,"EE1D23",,
"014014032:32","339","32","Goussainville Victor Basch - Zone Aéroportuaire Aéroport CDG 1 RER B - Zone Aéroportuai",,"3",,"B3D234",,
"014014033:33","339","33","Goussainville Les Noues RER D - Goussainville G. Brassens - Goussainville Les Noues RER",,"3",,"0075BF",,
"014014011:34","339","34","Goussainville Les Noues RER D - Goussainville Les Coteaux - Goussainville Les Noues RER",,"3",,"11AF4B",,
"014014038:38","339","38","Seugy Rue de Giez - Viarmes Collège Blaise Pascal",,"3",,"1D9FB6",,
"014014039:39","339","39","Zone Aéroportuaire Aéroport Charles de Gaulle 1 RER B - Villepinte Vert Galant RER B",,"3",,"EE7F00",,
"014014043:43","339","43","Zone Aéroportuaire Aéroport Charles de Gaulle 1 RER B - Sevran-Livry RER B",,"3",,"980D7D",,
"014014044:44","339","44","Sevran Beaudottes RER B - Aulnay-sous-Bois La Rose des Vents - Sevran Beaudottes RER B",,"3",,"5EC5ED",,
"014014045:45","339","45","Villepinte Vert Galant RER B - Le Blanc Mesnil RER B",,"3",,"EB739A",,
"014014046:46","339","46","Luzarches Collège A. de Noailles/Lycée G. de Nerval - Le Plessis-Gassot Blancs Manteaux",,"3",,"FCBA13",,
"014014047:47","339","47","Saint-Martin du Tertre Mairie - Luzarches Collège A. de Noailles/Lycée G. de Nerval",,"3",,"71BF44",,
"014014050:50","339","50","Viarmes Route de Royaumont - Mortefontaine Institut St Dominique",,"3",,"00B59D",,
"014014071:71","339","71","Villeparisis Mitry-le-Neuf RER B - Mitry-Mory La Villette aux Aulnes",,"3",,"896727",,
"014014093:93","339","93","Zone Aéroportuaire Aéroport Charles de Gaulle 1 RER B - Bobigny Pablo Picasso M",,"3",,"A7612B",,
"014177100:100","339","100","Zone Aéroportuaire Aéroport Charles de Gaulle 1 RER B - Chelles Rond-point des Sciences",,"3",,"0db0af","ffffff",
"014014116:116","339","116","Mitry Mory La Villette aux Aulnes - Mitry Mory Collège Langevin / Lycée Balzac",,"3",,"694994",,
"014014071:171","339","171","Villeparisis Mitry-le-Neuf RER B - Mitry-Mory Collège Satie",,"3",,"0083A1",,
"014014777:777","339","777","(Circulaire) Meaux SNCF via LEP Pierre de Coubertin",,"3",,"23B24B",,
"014014011:115","339","11.5","Goussainville Le Moulin / Le Thillay Avenue Bocquet - Gonesse Collège Philippe August",,"3",,"EE1D23",,
"014014012:12ZI","339","12 ZI","(Circulaire) Goussainville RER via Goussainville - ZAE Robert Moinon",,"3",,"6DB2D1",,
"014014012:121","339","12.1","Chaumontel Cyprien Rethoré - Luzarches Gérard de Nerval",,"3",,"90268F",,
"014014014:141","339","14.1","Asnières-sur-Oise Baillon - Viarmes Collège Blaise Pascal",,"3",,"7960AA",,
"014014030:30B","339","30B","Goussainville RER  via Goussainville — Descartes",,"3",,"00BAF1",,
"014014030:30D","339","30D","Goussainville RER - via Les Demoiselles",,"3",,"9EA239",,
"014014032:32ZA","339","32 ZA","Goussainville RER - Aéroport Charles-de-Gaulle 1 RER",,"3",,"03722C",,
"014014032:32A","339","32A","Goussainville-La Charmeuse  -  Aulnay-sous-Bois - Parinor - Louis Armand",,"3",,"60BB46",,
"014014003:3A","339","3A","Mitry-Mory Mitry-Claye RER B – Compans Saint-Exupéry",,"3",,"fcc200","ffffff",
"014014003:3B","339","3B","Mitry-Mory Mitry-Claye RER B – Mitry-Mory Mitry-Claye RER B",,"3",,"d8892c","ffffff",
"014014099:Gbus","339","G'bus","Goussainville RER D - Goussainville Mairie - Goussainville Demoiselles",,"3",,"F2F3B3",,
"014014901:R1","339","R1","Louvres RER D - Survilliers Fosses RER D",,"3",,"B2CE40",,
"014014915:R104","339","R104","Goussainville Sécurité Sociale - Mortefontaine Institut St-Dominique",,"3",,"0072BC",,
"014014916:R106","339","R106","Goussainville Calvaire - Mortefontaine Institut St-Dominique",,"3",,"7C4399",,
"014014916:R108","339","R108","Fosses Mairie Annexe - Mortefontaine Institut St-Dominique",,"3",,"F287B7",,
"014014916:R109","339","R109","Vémars Centre - Mortefontaine Institut St-Dominique",,"3",,"A986BC",,
"014014910:R110","339","R110","Puiseux-en-France Ruelle du puits / Quatre vents - Louvres Collège André Malraux",,"3",,"A44137",,
"014014911:R111","339","R111","Chennevrières-les-Louvres Eglise / Vémars Les Mitelles - Louvres Collège Mauriac",,"3",,"FAA619",,
"014014912:R112","339","R112","Saint-Witz Piscine - Marly-le-Ville Collège Françoise Dolto",,"3",,"F79D85",,
"014014913:R113","339","R113","Roissy-en-France Bergerie - Saint-Witz Lycée Léonard de Vinci - Marly-la-Ville Quatre",,"3",,"DE1C24",,
"014014117:R114","339","R114","Saint-Witz Treize Saules - Senlis Collège Anne-Marie Javouhey",,"3",,"FFDD00",,
"014014117:R117","339","R117","Survilliers Centre-ville - Luzarches Gérard de Nerval",,"3",,"fb3099",,
"014014902:R2","339","R2","Fosses Mairie annexe - Plailly Vergers",,"3",,"FAA619",,
"014014903:R3","339","R3","Survilliers Fosses RER D - Marly-la-Ville Central Space Bâtiment C",,"3",,"ED322C",,
"014014904:R4","339","R4","ZoneAéroportuaire Aéroport Charles de Gaulle 1 RER B - Louvres RER D",,"3",,"00AAAD",,
