route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,weelchair
100100020:20,442,20,Gare St-Lazare - Gare de Lyon,,3,,f68f4b,000000,oui
100100021:21,442,21,Gare St-Lazare - Stade Charléty,,3,,77c695,000000,oui
100100022:22,442,22,Opéra - Porte de St-Cloud,,3,,008b5a,ffffff,oui
100100024:24,442,24,Gare St-Lazare - Maubert-Mutualité - Gare d'Austerlitz - Ecole Vétérinaire de Maisons-Alfort,,3,,bb4b9c,ffffff,oui
100100026:26,442,26,Gare St-Lazare - Nation Place des Antilles,,3,,f68f4b,000000,oui
100100027:27,442,27,Gare St-Lazare - Porte d'Ivry Claude Regaud,,3,,f68f4b,000000,oui
100100028:28,442,28,Gare St-Lazare - Porte d'Orléans,,3,,f59eb3,000000,oui
100100029:29,442,29,Gare St-Lazare - Porte de Montempoivre,,3,,87d3df,000000,oui
100100030:30,442,30,Gare de l'Est - Trocadéro,,3,,652c90,ffffff,oui
100100031:31,442,31,Gare de l'Est - Charles de Gaulle-Etoile,,3,,ffcd02,000000,oui
100100032:32,442,32,Gare de l'Est - Porte d'Auteuil,,3,,9c983a,000000,oui
100100035:35,442,35,Gare de l'Est - Mairie d'Aubervilliers,,3,,77c695,000000,oui
100100038:38,442,38,Gare du Nord - Porte d'Orléans,,3,,006cb8,ffffff,oui
100100039:39,442,39,Gare du Nord - Issy Frères Voisin,,3,,bb4b9c,ffffff,oui
100100042:42,442,42,Gare du Nord - Hôpital Européen Georges Pompidou,,3,,006cb8,ffffff,oui
100100043:43,442,43,Gare du Nord - Neuilly Bagatelle,,3,,ed1b2a,ffffff,oui
100100046:46,442,46,Gare du Nord - Château de Vincennes,,3,,cec92a,000000,oui
100100047:47,442,47,Gare de l'Est - Le Kremlin-Bicêtre Fort de Bicêtre,,3,,f59eb3,000000,oui
100100048:48,442,48,Palais-Royal - Porte des Lilas,,3,,006cb8,ffffff,oui
100100052:52,442,52,Opéra - Charles de Gaulle-Etoile - Porte d'Auteuil - Parc de St-Cloud,,3,,87d3df,000000,oui
100100053:53,442,53,Opéra - Pont de Levallois,,3,,cec92a,000000,oui
100100054:54,442,54,Porte d'Aubervilliers - Gabriel Péri,,3,,8ec3d1,000000,oui
100100056:56,442,56,Porte de Clignancourt - Château de Vincennes,,3,,bb4b9c,ffffff,oui
100100057:57,442,57,Porte de Bagnolet Louis Ganne - Laplace,,3,,9c983a,ffffff,oui
100100058:58,442,58,Châtelet - Vanves Lycée Michelet,,3,,008b5a,ffffff,oui
100100060:60,442,60,Gambetta - Porte de Montmartre,,3,,ed1b2a,ffffff,oui
100100061:61,442,61,Gare d'Austerlitz - Eglise de Pantin,,3,,008b5a,ffffff,oui
100100062:62,442,62,Bibliothèque François Mitterrand - Porte de St-Cloud,,3,,8d653a,ffffff,oui
100100063:63,442,63,Gare de Lyon - Porte de la Muette,,3,,cec92a,000000,oui
100100064:64,442,64,Gambetta - Place d'Italie,,3,,77c695,000000,oui
100100065:65,442,65,Gare de Lyon - Mairie d'Aubervilliers,,3,,008b5a,ffffff,oui
100100066:66,442,66,Opéra - Clichy Victor Hugo,,3,,008b5a,ffffff,oui
100100067:67,442,67,Pigalle - Châtelet-Hôtel de Ville - Stade Charléty,,3,,ea7c9a,000000,oui
100100068:68,442,68,Place de Clichy - Châtillon-Montrouge,,3,,ffcd01,000000,oui
100100069:69,442,69,Gambetta - Champ de Mars,,3,,87d3df,000000,oui
100100070:70,442,70,Hôtel de Ville - Radio-France,,3,,f68f4b,000000,oui
100100072:72,442,72,Hôtel de Ville - Parc de St-Cloud,,3,,ed1b2a,ffffff,oui
100100073:73,442,73,Musée d'Orsay - La Garenne-Colombes Place de Belgique,,3,,8d653a,ffffff,oui
100100074:74,442,74,Hôtel de Ville - Porte de Clichy - Clichy Berges de Seine,,3,,cec92a,000000,oui
100100075:75,442,75,Pont Neuf - Porte de Pantin,,3,,ffcd02,000000,oui
100100076:76,442,76,Louvre-Rivoli - Bagnolet Louise Michel,,3,,652c90,ffffff,oui
100100080:80,442,80,Mairie du XVIIIè - Porte de Versailles,,3,,f59eb3,000000,oui
100100081:81,442,81,Châtelet - Porte de St-Ouen,,3,,c9a2cd,000000,oui
100100082:82,442,82,Luxembourg - Neuilly Hôpital Américain,,3,,f68f4b,000000,oui
100100083:83,442,83,Friedland-Haussmann - Porte d'Ivry Claude Régaud,,3,,ffcd02,000000,oui
100100084:84,442,84,Panthéon - Porte de Champerret,,3,,c9a2cd,000000,oui
100100085:85,442,85,Luxembourg - Mairie du XVIIIè - Mairie de St-Ouen,,3,,8d653a,ffffff,oui
100100086:86,442,86,St-Germain-des-Prés - St-Mandé Demi-Lune,,3,,ed1b2a,ffffff,oui
100100087:87,442,87,Champ de Mars - Bastille - Porte de Reuilly,,3,,652c90,ffffff,oui
100100088:88,442,88,Montsouris-Tombe Issoire - Hôpital Européen Georges Pompidou,,3,,cec92a,000000,oui
100100089:89,442,89,Bibliothèque François Mitterrand - Gare de Vanves-Malakoff,,3,,87d3df,000000,oui
100100091:91,442,91,Montparnasse 2 Gare TGV - Bastille,,3,,dfb03a,000000,oui
100100092:92,442,92,Gare Montparnasse - Porte de Champerret,,3,,ffcd02,000000,oui
100100093:93,442,93,Invalides - Suresnes de Gaulle,,3,,77c695,000000,oui
100100094:94,442,94,Gare Montparnasse - Gare St-Lazare - Levallois Louison Bobet,,3,,bb499c,ffffff,oui
100100095:95,442,95,Porte de Vanves - Porte de Montmartre,,3,,8d653a,ffffff,oui
100100096:96,442,96,Gare Montparnasse - Porte des Lilas,,3,,dfb03a,000000,oui
100100101:101,442,101,Joinville-le-Pont - Champigny Camping International,,3,,ffcd01,000000,oui
100100102:102,442,102,Gambetta - Rosny-Bois Perrier,,3,,ffcd01,000000,oui
100100103:103,442,103,Ecole Vétérinaire de Maisons-Alfort - Rungis Marché International,,3,,f68f4b,000000,oui
100100104:104,442,104,Ecole Vétérinaire de Maisons-Alfort - Bonneuil Place des Libertés,,3,,ed1b2a,ffffff,oui
100100105:105,442,105,Porte des Lilas - Mairie des Pavillons-sous-Bois,,3,,f68f4b,000000,oui
100100106:106,442,106,Joinville-le-Pont - Villiers-sur-Marne-Le-Plessis-Trévise,,3,,ed1b2a,ffffff,oui
100100107:107,442,107,Ecole Vétérinaire de Maisons-Alfort - St-Maur-Créteil - St-Maur La Pie,,3,,f59eb3,000000,non
100100108:108,442,108,Joinville-le-Pont - Champigny Jeanne Vacher,,3,,f59eb3,000000,non
100100109:109,442,109,Terroirs de France - Charenton Pont Nelson Mandela,,3,,cec92a,000000,oui
100100110:110,442,110,Joinville-le-Pont - Villiers-sur-Marne-Le-Plessis-Trévise,,3,,652c90,ffffff,oui
100100111:111,442,111,Terroirs de France - St-Maur Corneilles - La Varenne-Chennevières - Champigny,,3,,c9a2cd,000000,oui
100100112:112,442,112,Château de Vincennes - La Varenne-Chennevières,,3,,f68f4b,000000,non
100100113:113,442,113,Nogent-sur-Marne - Mairie de Chelles - Chelles 2 Centre Commercial,,3,,ed1b2a,ffffff,non
100100114:114,442,114,Château de Vincennes - Le Raincy-Villemomble-Montfermeil - Villemomble Les Coquetiers,,3,,77c695,ffffff,non
100100115:115,442,115,Porte des Lilas - Mairie de Montreuil - Château de Vincennes,,3,,008b5a,ffffff,oui
100100116:116,442,116,Rosny-Bois Perrier - Eglise de Rosny-sous-Bois - Champigny,,3,,87d3df,000000,oui
