stop_id,stop_name,stop_desc,zone_id
"StopArea:DUA8700147","Aéroport Charles-de-Gaulle 2 RER","","5"
"StopArea:DUA8711300","Paris Est","Place 11 Novembre 1918, 75010 Paris","1"
"StopArea:DUA8711347","Le Raincy - Villemomble - Montfermeil","Cour de la gare 93340 Le Raincy","4"
"StopArea:DUA8711377","Les Boullereaux Champigny","Avenue Danielle Casanova 94500 Champigny sur Marne","3"
"StopArea:DUA8711380","Noisy-le-Grand Les Yvris","avenue du bois St Martin 93160 Noisy le Grand","4"
"StopArea:DUA8711386","Livry-Gargan","Boulevard Louis Pasteur 93320 Les Pavillons sous Bois","4"
"StopArea:DUA8711389","Sevran Freinville","Boulevard d'Aulnay 93270 Sevran","4"
"StopArea:DUA8711602","Ozoir-la-Ferrière","Avenue Raoul Nordling 77330 Ozoir la Ferriere","5"
"StopArea:DUA8711604","Émerainville - Pontault-Combault","2 avenue de la gare 77184 Emerainville","5"
"StopArea:DUA8711608","Mormant","Place de la gare 77720 Mormant","5"
"StopArea:DUA8711622","Marles-en-Brie","CHEMIN DE FER 77610 LA HOUSSAIE EN BRIE","5"
"StopArea:DUA8711624","Mortcerf","AVENUE DE LA GARE 77163 MORTCERF","5"
"StopArea:DUA8711627","Faremoutiers - Pommeuse","avenue de la Bilbauderie 77515 Pommeuse","5"
"StopArea:DUA8711639","La Ferté-Gaucher","","5"
"StopArea:DUA8711640","Montry - Condé-Sainte-Libiaire","Avenue du Maréchal Foch 77450 Montry","5"
"StopArea:DUA8711649","Trilport","","5"
"StopArea:DUA8711650","Changis-sur-Marne - Saint-Jean-les-Deux-Jumeaux","place de la Gare 77660 CHANGIS-SUR-MARNE","5"
"StopArea:DUA8711651","La Ferté-sous-Jouarre","10 place de la gare 77260 le Ferté-sous-Jouarre","5"
"StopArea:DUA8711656","Nogent-L'Artaud - Charly","","100"
"StopArea:DUA8711666","Mareuil-sur-Ourcq","","100"
"StopArea:DUA8727144","Sevran Beaudottes","Avenue Raoul Dautry, 93270 Sevran","4"
"StopArea:DUA8727147","Le Blanc-Mesnil","Rue Pierre Semard, 93150, Le Blanc Mesnil","3"
"StopArea:DUA8727157","Nanteuil-le-Haudouin","","100"
"StopArea:DUA8727214","Les Grésillons","Avenue des Gresillons 923230 Genneviliers","3"
"StopArea:DUA8727602","Enghien-les-Bains","rue du Départ, 95880 Enghien-les-Bains","4"
"StopArea:DUA8727603","Champ de Courses d'Enghien","Chaussée Jules César 95230 Soisy-sous-Montmorency","4"
"StopArea:DUA8727613","Pontoise","Place du général de Gaulle 95300 Pontoise","5"
"StopArea:DUA8727614","Épluches","Impasse de la Gare 95310 Saint-Ouen-l'Aumône","5"
"StopArea:DUA8727622","Villiers-le-Bel - Gonesse","1 Place Général Leclerc  95400 Villilers le Bel","4"
"StopArea:DUA8727625","Louvres","Place de la Gare 95380 Louvres","5"
"StopArea:DUA8727627","Orry-la-Ville - Coye-la-Forêt","","100"
"StopArea:DUA8727636","Groslay","Rue Charles de Gaulles","4"
"StopArea:DUA8727639","Écouen - Ézanville","PLACE DE LA GARE 95440 ECOUEN","4"
"StopArea:DUA8727641","Précy-sur-Oise","","100"
"StopArea:DUA8727646","Persan - Beaumont-sur-Oise","Avenue de la Gare 95340 Persan","5"
"StopArea:DUA8727654","Auvers-sur-Oise","Rue du Général De Gaulle, 95430 Auvers S/Oise","5"
"StopArea:DUA8727656","Viarmes","Place de la gare 95270 Viarmes","5"
"StopArea:DUA8727657","Luzarches","Boulevard de La Fraternité, 95270 Luzarches","5"
"StopArea:DUA8727667","Mériel","Rue Théodore Rousseau 95630 Meriel","5"
"StopArea:DUA8728187","Magenta","160 rue La Fayette 75010 Paris","1"
"StopArea:DUA8733293","Guillerval Mondésir","","5"
"StopArea:DUA8736692","Saint-Germain-en-Laye Bel-Air - Fourqueux","Place du Préfet Claude Erignac 78100 Saint Germain en Laye","4"
"StopArea:DUA8738108","Colombes","2-4 Rue St Denis 92700 Colombes","3"
"StopArea:DUA8738149","Andrésy","Place de la Gare 78570 Andrésy","5"
"StopArea:DUA8738150","Mantes-la-Jolie","Place du 8 Mai 1945 78200 Mantes la Jolie","5"
"StopArea:DUA8738159","Mantes Station","Place de l'Europe 78200 Mantes la Ville","5"
"StopArea:DUA8738171","Mareil-sur-Mauldre","Rue Christian Puillard 78124 Mareil Sur Mauldre","5"
"StopArea:DUA8738226","Vaucresson","Place de Charles de Gaulle 92420 Vaucresson","4"
"StopArea:DUA8738235","Saint-Cloud","42 Rue Dailly 92210 Saint Cloud","3"
"StopArea:DUA8738709","Bueil","","100"
"StopArea:DUA8739300","Versailles Chantier","4 Rue de l'Abbé Rousseau 78000 Versailles","4"
"StopArea:DUA8739307","Issy-les-Moulineaux","87, Avenue de Verdun 92130   Issy-les-Moulineaux","2"
"StopArea:DUA8739329","Le Perray-en-Yvelines","Place de la Gare 78610 Le Perray en Yvelines","5"
"StopArea:DUA8739342","Plaisir - Thiverval-Grignon","Place de la Gare 78610 Le Perray en Yvelines","5"
"StopArea:DUA8739345","Tacoignières - Richebourg","Rue de la Gare 78910 Tacoignières","5"
"StopArea:DUA8739364","Gravigny Balizy","Rue des Templiers 91160   Longjumeau","4"
"StopArea:DUA8739384","Saint-Quentin en Yvelines","Place Charles de Gaulle 78180 Montigny le Bretonneux","5"
"StopArea:DUA8739411","Épernon","","100"
"StopArea:DUA8739413","Maintenon","","100"
"StopArea:DUA8739414","Saint-Piat","","100"
"StopArea:DUA8741995","Serans","","100"
"StopArea:DUA8749210","Les Ardoines","Rue Léon Geoffroy 94400   Vitry-sur-Seine","3"
"StopArea:DUA8754017","Dourdan la Forêt","Chemin du Champ de course 91410   Dourdan","5"
"StopArea:DUA8754514","Étréchy","Boulevard Pasteur 91580   Etrechy","5"
"StopArea:DUA8754516","Lardy","Rue de la Roche qui Tourne 91510   Lardy","5"
"StopArea:DUA8754521","Sainte-Geneviève-des-Bois","Place de la Gare 91700   Sainte-Geneviève-des-Bois","5"
"StopArea:DUA8754525","Athis-Mons","Place de Rothenbourg ob der Tauber 91200   Athis-Mons","4"
"StopArea:DUA8754530","Ivry-sur-Seine","Place Marcel Cachin 94200   Ivry-sur-Seine","2"
"StopArea:DUA8754535","Saint-Martin d'Étampes","Rue Salvador Allende 91150   Etampes","5"
"StopArea:DUA8754545","La Norville - Saint-Germain-lès-Arpajon","Rue de la Gare 91290   La Norville","5"
"StopArea:DUA8754549","Breuillet Village","Rue de la Gare 91650   Breuillet","5"
"StopArea:DUA8754570","Voves","","100"
"StopArea:DUA8768100","Corbeil-Essonnes","Place Henri Barbusse 91100 Corbeil Essonnes","5"
"StopArea:DUA8768131","Viry-Châtillon","Avenue du Général de Gaulle 91170 Viry Châtillon","4"
"StopArea:DUA8768133","Ris-Orangis","5 Rue Edmond Bonte 91130 Ris-Orangis","5"
"StopArea:DUA8768139","Le Bras de Fer","Place du Commandant Charcot / Bld des Coquibus 9100  Evry","5"
"StopArea:DUA8768200","Melun","Place de Galliéni 77000 Melun","5"
"StopArea:DUA8768212","Brunoy","Rue de la Gare 91800 Evry","5"
"StopArea:DUA8768215","Lieusaint - Moissy-Cramayel","Gare SNCF 77127 Lieusaint","5"
"StopArea:DUA8768221","Fontainebleau - Avon","Place de la gare 77210 Avon","5"
"StopArea:DUA8768246","Vernou-la-Celle-sur-Seine","route de montereau 77670 Vernou-le-Celle-sur-Seine","5"
"StopArea:DUA8768313","Pont-sur-Yonne","","100"
"StopArea:DUA8768324","Joigny","","100"
"StopArea:DUA8768441","Malesherbes","","100"
"StopArea:DUA8775807","Le Vésinet","","4"
"StopArea:DUA8775808","Le Vésinet - Le Pecq","","4"
"StopArea:DUA8775809","Saint-Germain-en-Laye","","4"
"StopArea:DUA8775814","Joinville-le-Pont","","3"
"StopArea:DUA8775832","Bry-sur-Marne","","4"
"StopArea:DUA8775835","Noisiel","","5"
"StopArea:DUA8775860","Châtelet les Halles","","1"
"StopArea:DUA8775861","Luxembourg","","1"
"StopArea:DUA8775864","Cité Universitaire","","1"
"StopArea:DUA8775868","Bagneux","","3"
"StopArea:DUA8775871","Fontenay-aux-Roses","","3"
"StopArea:DUA8775886","La Hacquinière","","5"
"StopArea:DUA8775888","Courcelle sur Yvette","","5"
"StopArea:DUA8711370","Rosny-sous-Bois","1 place des Martyrs de la Résistance 93110 ROSNY-SOUS-BOIS","3"
"StopArea:DUA8711609","Nangis","Place de la gare 77370 Nangis","5"
"StopArea:DUA8711621","Tournan","1 rue Georges Clémenceau 77220 TOURNAN-EN-BRIE","5"
"StopArea:DUA8711667","La Ferté-Milon","","100"
"StopArea:DUA8711674","Villiers-sur-Morin - Montbarbin","Rue du souterrain 77580 Crécy-la-Chapelle","5"
"StopArea:DUA8711677","Crécy-la-Chapelle","Routes des bouleurs 77580 Crécy-la-Chapelle","5"
