"fare_id","route_id"
"a","201-001-A"
"a","201-001-R"
"a","201-002-A"
"a","201-002-R"
"a","201-003-A"
"a","201-003-R"
"a","201-004-A"
"a","201-004-R"
"a","201-005-A"
"a","2011-01-A"
"a","2011-01-R"
"a","2011-02-A"
"a","2011-02-R"
"a","2011-03-A"
"a","2011-03-R"
"a","2011-04-A"
"a","2011-04-R"
"a","2011-05-A"
"a","2011-05-R"
"a","2011-06-A"
"a","2011-06-R"
"a","2011-07-A"
"a","2011-07-R"
"a","2011-08-A"
"a","2011-08-R"
"a","2011-09-A"
"a","2011-09-R"
"a","2011-10-R"
"a","2011-11-R"
"a","2011-12-R"
"a","2011-13-R"
"a","202-001-A"
"a","202-001-R"
"a","202-002-A"
"a","202-002-R"
"a","2021-01-A"
"a","2021-01-R"
"a","2021-02-A"
"a","2021-02-R"
"a","2021-03-A"
"a","2021-03-R"
"a","2021-04-R"
"a","2021-05-R"
"a","2021-06-R"
"a","2021-07-A"
"a","2021-07-R"
"a","210-001-A"
"a","210-001-R"
"a","210-002-A"
"a","210-002-R"
"a","2101-01-A"
"a","2101-01-R"
"a","2101-02-A"
"a","2101-02-R"
"a","2101-03-A"
"a","2101-03-R"
"a","2101-04-A"
"a","2101-04-R"
"a","2101-05-A"
"a","2101-05-R"
"a","2101-06-R"
"a","2101-07-R"
"a","2101-08-R"
"a","2101-09-R"
"a","2101-10-R"
"a","211-001-A"
"a","211-001-R"
"a","211-002-A"
"a","211-002-R"
"a","212-001-A"
"a","212-001-R"
"a","212-002-A"
"a","212-002-R"
"a","212-003-A"
"a","212-003-R"
"a","212-004-A"
"a","212-004-R"
"a","2121-01-A"
"a","2121-01-R"
"a","2121-02-A"
"a","2121-02-R"
"a","2121-03-A"
"a","2121-03-R"
"a","2121-04-A"
"a","2121-04-R"
"a","213-001-A"
"a","213-001-R"
"a","213-002-A"
"a","213-002-R"
"a","214-001-A"
"a","214-001-R"
"a","214-002-A"
"a","214-002-R"
"a","215-001-A"
"a","215-001-R"
"a","215-002-A"
"a","215-002-R"
"a","281-001-A"
"a","281-001-R"
"a","281-002-A"
"a","281-002-R"
"a","281-003-A"
"a","281-003-R"
"a","281-004-A"
"a","281-004-R"
"a","281-005-A"
"a","281-005-R"
"a","281-006-A"
"a","281-006-R"
"a","281-007-R"
"a","281-008-R"
"a","281-009-R"
"a","281-010-R"
"a","281-011-R"
"a","281-012-R"
"a","282-001-A"
"a","282-001-R"
"a","282-002-A"
"a","282-002-R"
"a","282-003-A"
"a","282-003-R"
"a","282-004-A"
"a","282-004-R"
"a","282-005-A"
"a","282-005-R"
"a","282-006-A"
"a","282-006-R"
"a","282-007-A"
"a","282-007-R"
"a","301-001-A"
"a","301-001-R"
"a","301-002-A"
"a","301-002-R"
"a","301-003-A"
"a","301-003-R"
"a","301-005-A"
"a","3011-01-A"
"a","3011-01-R"
"a","3011-02-A"
"a","3011-02-R"
"a","3011-03-A"
"a","3011-04-A"
"a","3011-05-A"
"a","3011-05-R"
"a","3011-06-A"
"a","3011-06-R"
"a","3011-07-A"
"a","3011-07-R"
"a","3011-08-A"
"a","3011-08-R"
"a","3011-09-A"
"a","3011-09-R"
"a","3011-10-A"
"a","3011-10-R"
"a","3011-11-R"
"a","3011-12-R"
"a","3011-13-R"
"a","302-001-A"
"a","302-001-R"
"a","302-002-A"
"a","302-002-R"
"a","302-003-A"
"a","302-003-R"
"a","302-004-A"
"a","302-004-R"
"a","3021-01-A"
"a","3021-01-R"
"a","3021-02-A"
"a","3021-02-R"
"a","3021-03-A"
"a","3021-03-R"
"a","303-001-A"
"a","303-001-R"
"a","303-002-A"
"a","303-002-R"
"a","303-003-A"
"a","303-003-R"
"a","310-001-A"
"a","310-001-R"
"a","310-002-A"
