route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
201-001-A,transgironde_33,201,BORDEAUX BUTTINIERE - BLAYE,LORMONT vers BLAYE,3,,a16c00,ffffff
201-001-R,transgironde_33,201,BLAYE - BORDEAUX BUTTINIERE,BLAYE vers LORMONT,3,,a16c00,ffffff
201-002-A,transgironde_33,201,BORDEAUX BUTTINIERE - BLAYE,LORMONT vers BLAYE,3,,a16c00,ffffff
201-002-R,transgironde_33,201,BLAYE - BORDEAUX BUTTINIERE,BLAYE vers LORMONT,3,,a16c00,ffffff
201-003-A,transgironde_33,201,BORDEAUX  BUTTINIERE - BLAYE,LORMONT vers BLAYE,3,,a16c00,ffffff
201-003-R,transgironde_33,201,BLAYE - BORDEAUX BUTTINIERE,BLAYE vers LORMONT,3,,a16c00,ffffff
201-004-A,transgironde_33,201,BORDEAUX BUTTINIERE - BLAYE,LORMONT vers BLAYE,3,,a16c00,ffffff
201-004-R,transgironde_33,201,BLAYE - BORDEAUX BUTTINIERE,BLAYE vers LORMONT,3,,a16c00,ffffff
201-005-A,transgironde_33,201,BORDEAUX BUTTINIERE - BLAYE,LORMONT vers BLAYE,3,,a16c00,ffffff
2011-01-A,transgironde_33,2011,VILLENEUVE - BOURG,VILLENEUVE vers BOURG SUR GIRONDE,3,,a16c00,ffffff
2011-01-R,transgironde_33,2011,BOURG - VILLENEUVE,BOURG SUR GIRONDE vers VILLENEUVE,3,,a16c00,ffffff
2011-02-A,transgironde_33,2011,PRIGNAC ET M. - BOURG,PRIGNAC ET MARCAMPS vers BOURG SUR GIRONDE,3,,a16c00,ffffff
2011-02-R,transgironde_33,2011,BOURG - PRIGNAC ET M.,BOURG SUR GIRONDE vers PRIGNAC ET MARCAMPS,3,,a16c00,ffffff
2011-03-A,transgironde_33,2011,ST CIERS DE C. - BOURG,ST CIERS DE CANESSE vers BOURG SUR GIRONDE,3,,a16c00,ffffff
2011-03-R,transgironde_33,2011,BOURG - ST CIERS DE C.,BOURG SUR GIRONDE vers ST CIERS DE CANESSE,3,,a16c00,ffffff
2011-04-A,transgironde_33,2011,CUBZAC LES PONTS - ST ANDRE DE CUBZAC,CUBZAC LES PONTS vers ST ANDRE DE CUBZAC,3,,a16c00,ffffff
2011-04-R,transgironde_33,2011,ST ANDRE DE CUBZAC - CUBZAC LES PONTS,ST ANDRE DE CUBZAC vers CUBZAC LES PONTS,3,,a16c00,ffffff
2011-05-A,transgironde_33,2011,AMBES - ST ANDRE DE CUBZAC,AMBES vers ST ANDRE DE CUBZAC,3,,a16c00,ffffff
2011-05-R,transgironde_33,2011,ST ANDRE DE CUBZAC - AMBES,ST ANDRE DE CUBZAC vers AMBES,3,,a16c00,ffffff
2011-06-A,transgironde_33,2011,ST GERVAIS - ST ANDRE DE CUBZAC,ST GERVAIS vers ST ANDRE DE CUBZAC,3,,a16c00,ffffff
2011-06-R,transgironde_33,2011,ST ANDRE DE CUBZAC - ST GERVAIS,ST ANDRE DE CUBZAC vers ST GERVAIS,3,,a16c00,ffffff
2011-07-A,transgironde_33,2011,ST TROJAN - ST ANDRE DE CUBZAC,ST TROJAN vers ST ANDRE DE CUBZAC,3,,a16c00,ffffff
2011-07-R,transgironde_33,2011,ST ANDRE DE CUBZAC - ST TROJAN,ST ANDRE DE CUBZAC vers ST TROJAN,3,,a16c00,ffffff
2011-08-A,transgironde_33,2011,PRIGNAC ET M. - BLAYE,PRIGNAC ET MARCAMPS vers BLAYE,3,,a16c00,ffffff
2011-08-R,transgironde_33,2011,BLAYE - PRIGNAC ET M.,BLAYE vers PRIGNAC ET MARCAMPS,3,,a16c00,ffffff
2011-09-A,transgironde_33,2011,BOURG - BLAYE,BOURG SUR GIRONDE vers BLAYE,3,,a16c00,ffffff
2011-09-R,transgironde_33,2011,BLAYE - BOURG,BLAYE vers BOURG SUR GIRONDE,3,,a16c00,ffffff
2011-10-R,transgironde_33,2011,ST ANDRE DE C. - AMBES,ST ANDRE DE CUBZAC vers AMBES,3,,a16c00,ffffff
2011-11-R,transgironde_33,2011,ST ANDRE DE CUBZAC - ST TROJAN,ST ANDRE DE CUBZAC vers ST TROJAN,3,,a16c00,ffffff
2011-12-R,transgironde_33,2011,ST ANDRE DE CUBZAC - AMBES,ST ANDRE DE CUBZAC vers AMBES,3,,a16c00,ffffff
2011-13-R,transgironde_33,2011,ST ANDRE DE CUBZAC - ST TROJAN,ST ANDRE DE CUBZAC vers ST TROJAN,3,,a16c00,ffffff
202-001-A,transgironde_33,202,BORDEAUX Pl. Ravezies - BLAYE,BORDEAUX vers BLAYE,3,,55cfa3,ffffff
202-001-R,transgironde_33,202,BLAYE - BORDEAUX Pl. Ravezies,BLAYE vers BORDEAUX,3,,55cfa3,ffffff
202-002-A,transgironde_33,202,BORDEAUX PL. RAVEZIES - BLAYE,BORDEAUX vers BLAYE,3,,55cfa3,ffffff
202-002-R,transgironde_33,202,BLAYE - BORDEAUX PL.RAVEZIES,BLAYE vers BORDEAUX,3,,55cfa3,ffffff
2021-01-A,transgironde_33,2021,ST ANDRE DE CUBZAC - BLAYE,ST ANDRE DE CUBZAC vers BLAYE,3,,55cfa3,ffffff
2021-01-R,transgironde_33,2021,BLAYE - ST ANDRE DE CUBZAC,BLAYE vers ST ANDRE DE CUBZAC,3,,55cfa3,ffffff
2021-02-A,transgironde_33,2021,EYRANS - ST ANDRE DE CUBZAC,EYRANS vers ST ANDRE DE CUBZAC,3,,55cfa3,ffffff
2021-02-R,transgironde_33,2021,ST ANDRE DE CUBZAC - EYRANS,ST ANDRE DE CUBZAC vers EYRANS,3,,55cfa3,ffffff
2021-03-A,transgironde_33,2021,ST YZAN DE SOUDIAC - ST ANDRE DE CUBZAC,ST YZAN DE SOUDIAC vers ST ANDRE DE CUBZAC,3,,55cfa3,ffffff
2021-03-R,transgironde_33,2021,ST ANDRE DE CUBZAC - ST YZAN DE SOUDIAC,ST ANDRE DE CUBZAC vers ST YZAN DE SOUDIAC,3,,55cfa3,ffffff
2021-04-R,transgironde_33,2021,ST ANDRE DE CUBZAC - EYRANS,ST ANDRE DE CUBZAC vers EYRANS,3,,55cfa3,ffffff
2021-05-R,transgironde_33,2021,ST ANDRE DE CUBZAC - ST GIRONS,ST ANDRE DE CUBZAC vers ST PAUL,3,,55cfa3,ffffff
2021-06-R,transgironde_33,2021,ST ANDRE DE CUBZAC - EYRANS,ST ANDRE DE CUBZAC vers EYRANS,3,,55cfa3,ffffff
2021-07-A,transgironde_33,2021,ST LAURENT D'ARCE - ST ANDRE DE CUBZAC,ST LAURENT D'ARCE vers ST ANDRE DE CUBZAC,3,,55cfa3,ffffff
2021-07-R,transgironde_33,2021,ST ANDRE DE CUBZAC - ST LAURENT D'ARCE,ST ANDRE DE CUBZAC vers ST LAURENT D'ARCE,3,,55cfa3,ffffff
210-001-A,transgironde_33,210,ST ANDRE DE CUBZAC - LARUSCADE,ST ANDRE DE CUBZAC vers LARUSCADE,3,,939aa1,ffffff
210-001-R,transgironde_33,210,LARUSCADE - ST ANDRE DE CUBZAC,LARUSCADE vers ST ANDRE DE CUBZAC,3,,939aa1,ffffff
210-002-A,transgironde_33,210,ST ANDRE DE CUBZAC - LARUSCADE,ST ANDRE DE CUBZAC vers LARUSCADE,3,,939aa1,ffffff
210-002-R,transgironde_33,210,LARUSCADE - ST ANDRE DE CUBZAC,LARUSCADE vers ST ANDRE DE CUBZAC,3,,939aa1,ffffff
2101-01-A,transgironde_33,2101,LARUSCADE - ST ANDRE DE CUBZAC,LARUSCADE vers ST ANDRE DE CUBZAC,3,,939aa1,ffffff
2101-01-R,transgironde_33,2101,ST ANDRE DE CUBZAC - LARUSCADE,ST ANDRE DE CUBZAC vers LARUSCADE,3,,939aa1,ffffff
2101-02-A,transgironde_33,2101,LARUSCADE - ST ANDRE DE CUBZAC,LARUSCADE vers ST ANDRE DE CUBZAC,3,,939aa1,ffffff
