stop_id,stop_name,stop_lon,stop_lat
StopArea:OCE71112102,gare de Alegria-de-alava, -2.514496,42.848807
StopPoint:OCETrain-71112102,gare de Alegria-de-alava, -2.514496,42.848807
StopArea:OCE71113000,gare de Alsasua, -2.167401,42.893293
StopPoint:OCETrain-71113000,gare de Alsasua, -2.167401,42.893293
StopArea:OCE71112136,gare de Araia,-2.3067648,42.8694561
StopPoint:OCETrain-71112136,gare de Araia,-2.3067648,42.8694561
StopArea:OCE71121053,gare de Arevalo, -4.702108,41.047109
StopPoint:OCETrain-71121053,gare de Arevalo, -4.702108,41.047109
StopArea:OCE71201004,gare de Astorga, -6.047376,42.459620
StopPoint:OCETrain-71201004,gare de Astorga, -6.047376,42.459620
StopArea:OCE71104000,gare de Avila, -4.683418,40.657258
StopPoint:OCETrain-71104000,gare de Avila, -4.683418,40.657258
StopArea:OCE71718010,gare de Barcelona - Sants,0.6562416,41.6161221
StopPoint:OCETrain-71718010,gare de Barcelona - Sants,0.6562416,41.6161221
StopArea:OCE71202110,gare de Barco Vald,0,0
StopPoint:OCETrain-71202110,gare de Barco Vald,0,0
StopArea:OCE71114041,gare de Beasain,-2.2022971,43.0462182
StopPoint:OCETrain-71114041,gare de Beasain,-2.2022971,43.0462182
StopArea:OCE71201111,gare de Bembibre, -6.421998,42.609537
StopPoint:OCETrain-71201111,gare de Bembibre, -6.421998,42.609537
StopArea:OCE71111096,gare de BRIVIESCA,-5.7116938,37.6611469
StopPoint:OCETrain-71111096,gare de BRIVIESCA,-5.7116938,37.6611469
StopArea:OCE71111000,gare de Burgos Rosa de Lima,-3.0298472,43.3286799
StopArea:OCE71041046,gare de Camp de Tarragona,1.2725811,41.1920191
StopPoint:OCETrain-71041046,gare de Camp de Tarragona,1.2725811,41.1920191
StopArea:OCE71812008,gare de Castejon, -1.691863,42.172596
StopPoint:OCETrain-71812008,gare de Castejon, -1.691863,42.172596
StopArea:OCE94343301,gare de Caxarias, -8.544609,39.714063
StopPoint:OCETrain-94343301,gare de Caxarias, -8.544609,39.714063
StopArea:OCE94484055,gare de Celorico da Beira, -7.382411,40.665119
StopPoint:OCETrain-94484055,gare de Celorico-da-Beira, -7.382411,40.665119
StopArea:OCE71330134,gare de Ciudad Rodrigo,-6.4299092,40.6708888
StopPoint:OCETrain-71330134,gare de Ciudad Rodrigo,-6.4299092,40.6708888
StopArea:OCE94410200,gare de Coimbra, -8.432094,40.209143
StopPoint:OCETrain-94410200,gare de Coimbra, -8.432094,40.209143
StopArea:OCE71101030,gare de El Escorial,-3.6689494,40.4230941
StopPoint:OCETrain-71101030,gare de El Escorial,-3.6689494,40.4230941
StopArea:OCE94340091,gare de Entroncamento, -8.475821,39.460939
StopPoint:OCETrain-94340091,gare de Entroncamento, -8.475821,39.460939
StopArea:OCE71330160,gare de Fuentes de Onoro,-1.9946248,43.2917869
StopPoint:OCETrain-71330160,gare de Fuentes de Onoro,-1.9946248,43.2917869
StopArea:OCE71154104,gare de Gijon/Xixon,-5.6761272,43.5374889
StopPoint:OCETrain-71154104,gare de Gijon/Xixon,-5.6761272,43.5374889
StopArea:OCE94490078,gare de Guarda, -7.239947,40.552179
StopPoint:OCETrain-94490078,gare de Guarda, -7.239947,40.552179
StopArea:OCE71314120,gare de La Coruna-SC, -8.411509,43.351394
StopPoint:OCETrain-71314120,gare de La Coruna-SC, -8.411509,43.351394
StopArea:OCE71202135,gare de La Rua Petin, -7.113169,42.392728
StopPoint:OCETrain-71202135,gare de La Rua Petin, -7.113169,42.392728
StopArea:OCE71151068,gare de La-Robla, -5.626243,42.803814
StopPoint:OCETrain-71151068,gare de La-Robla, -5.626243,42.803814
StopArea:OCE71102079,gare de Las-Navas-Del-Marques,2.7015167,39.6044446
StopPoint:OCETrain-71102079,gare de Las-Navas-Del-Marques,2.7015167,39.6044446
