stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:OCE87644195,Loches-St-Jacques,,,,,,1,
StopArea:OCE87644187,Loches-Lycee-St-Denis,,,,,,1,
StopArea:OCE87644179,Loches-LEP,,,,,,1,
StopArea:OCE87644039,Azay-Rivieres,,,,,,1,
StopArea:OCE87644237,Reignac-Jonquilles,,,,,,1,
StopArea:OCE87689745,Reignac-Bourg-Du-Fau,,,,,,1,
StopArea:OCE87688960,Courcay-Eglise,,,,,,1,
StopArea:OCE87644104,Courcay-Rouvre,,,,,,1,
StopArea:OCE87644153,Esvres-St-Malo,,,,,,1,
StopArea:OCE87644138,Esvres-Chene-Pendu,,,,,,1,
StopArea:OCE87688978,Chambray-Lycée-Agricole,,,,,,1,
StopArea:OCE87644070,Chambray-Trousseau,,,,,,1,
StopArea:OCE87644161,Esvres-Vauguinier,,,,,,1,
StopArea:OCE87644146,Esvres-Les-Recais,,,,,,1,
StopArea:OCE87644120,Esvres-Champgault,,,,,,1,
StopArea:OCE87693622,Limoges-Place-Jourdan,,,,,,1,
StopArea:OCE87693630,Limoges-CIEL,,,,,,1,
StopArea:OCE87693580,Limoges-Chastaing,,,,,,1,
StopArea:OCE87157958,St-Just-Le-Martel-Les-C,,,,,,1,
StopArea:OCE87157941,St-Just-Le-Martel-Le-Ve,,,,,,1,
StopArea:OCE87693804,St-Léonard-De-Noblat-Po,,,,,,1,
StopArea:OCE87693762,St-Léonard-De-Noblat,,,,,,1,
StopArea:OCE87693770,St-Léonard-De-Noblat-Ey,,,,,,1,
StopArea:OCE87693028,Moissannes-Route-de-Moi,,,,,,1,
StopArea:OCE87693051,St-Amand-Jartoudeix-Nou,,,,,,1,
StopArea:OCE87692715,Chavanat-Charbonnierr,,,,,,1,
StopArea:OCE87693713,Moutiers-Rozeille-Cr-Bl,,,,,,1,
StopArea:OCE87693440,Felletin-Mairie,,,,,,1,
StopArea:OCE87410712,Meulan-Arquebuse,,,,,,1,
StopArea:OCE87410696,Meulan-Place-du-Vexin,,,,,,1,
StopArea:OCE87193904,gare de Forbach-Fre,,,,,,1,
StopArea:OCE87693218,Le-Mont-Dore-Centre,,,,,,1,
StopArea:OCE87680728,Fix-St-Geneys-RN102.,,,,,,1,
StopArea:OCE87680504,Les-Trilliers-PN-Car.,,,,,,1,
StopArea:OCE87680595,St-Gervais-Ch-LPA.,,,,,,1,
StopArea:OCE87693291,Le-Mont-Dore-Ski,,,,,,1,
StopArea:OCE87691279,Theix-Centre,,,,,,1,
StopArea:OCE87680553,Riom_Es_M_la_Poste.,,,,,,1,
StopArea:OCE87687400,Coubladour-Rond-Point,,,,,,1,
StopArea:OCE87686634,La-Sauvanie,,,,,,1,
StopArea:OCE87686600,Puy-Guillaume-Emmaüs,,,,,,1,
StopArea:OCE87686576,Noiretable-M-Morts,,,,,,1,
StopArea:OCE87676833,St-Eloi-Eglise,,,,,,1,
StopArea:OCE87668111,Montbeugny-Centre,,,,,,1,
StopArea:OCE87666099,Chamelet-Centre.,,,,,,1,
StopArea:OCE87397950,Santec,,,,,,1,
StopArea:OCE87478339,Kernevel-Centre,,,,,,1,
StopArea:OCE87474692,Guiscriff,,,,,,1,
StopArea:OCE87580944,Fougères-Carnot,,,,,,1,
StopArea:OCE87689729,Monnaie-Gendarmerie,,,,,,1,
StopArea:OCE87688929,Auneau-Résistance,,,,,,1,
StopArea:OCE87643965,Auneau-Piscine,,,,,,1,
StopArea:OCE87643973,Auneau-Texier-Gallas,,,,,,1,
StopArea:OCE87690248,Châteaudun-LEP-Paulsen,,,,,,1,
StopArea:OCE87644088,Chateau-Renault-ZI,,,,,,1,
StopArea:OCE87643908,Chouzy-Mairie,,,,,,1,
StopArea:OCE87635862,Les-Islettes-Centre,,,,,,1,
StopArea:OCE87643197,Suippes-Ferme,,,,,,1,
StopArea:OCE87690396,Montfey,,,,,,1,
StopArea:OCE87515601,Longeville-Sur-Mogne-Ma,,,,,,1,
StopArea:OCE87117945,St-Germain (Aube) M.,,,,,,1,
